"Category","Name","Token","Value","Usage"
"Color","Primary Blue","colors.primary.blue","#2563EB","CTAs, links, primary buttons"
"Color","Light Blue","colors.primary.lightBlue","#DBEAFE","Backgrounds, hover states"
"Color","Pale Blue","colors.primary.paleBlue","#E0F2FE","Subtle backgrounds"
"Color","Success Green","colors.success.green","#059669","Success messages, positive actions"
"Color","Light Green","colors.success.lightGreen","#D1FAE5","Success backgrounds"
"Color","Black","colors.neutral.black","#000000","Primary text, headings"
"Color","White","colors.neutral.white","#FFFFFF","Backgrounds, text on dark"
"Color","Dark Gray","colors.neutral.darkGray","#414243","Secondary text"
"Color","Medium Gray","colors.neutral.mediumGray","#6B7280","Body text"
"Color","Light Gray","colors.neutral.lightGray","#E5E7EB","Borders"
"Color","Light Teal","colors.accent.lightTeal","#5EEAD4","Accent highlights"
"Color","Alert Red","colors.accent.alertRed","#EF4444","Warnings, errors"
"Gradient","Primary","gradients.primary","linear-gradient(135deg, #2563EB, #059669)","Main brand gradient"
"Gradient","Blue","gradients.blue","linear-gradient(135deg, #438eff, #2563eb)","Blue variant"
"Gradient","Green","gradients.green","linear-gradient(135deg, #059669, #10b981)","Green variant"
"Gradient","Light Blue","gradients.lightBlue","linear-gradient(135deg, #DBEAFE, #FFFFFF)","Background gradient"
"Typography","Primary Font","typography.fontFamily.primary","'Segoe UI', system-ui, sans-serif","Headlines, body text"
"Typography","Secondary Font","typography.fontFamily.secondary","'Source Sans Pro', sans-serif","Subsections, small text"
"Typography","Hero Size","typography.fontSize.hero","48px","Hero sections"
"Typography","H1 Size","typography.fontSize.h1","48px","Main headlines"
"Typography","H2 Size","typography.fontSize.h2","36px","Section headers"
"Typography","H3 Size","typography.fontSize.h3","24px","Subsection titles"
"Typography","Body Size","typography.fontSize.body","18px","Body text"
"Typography","Small Size","typography.fontSize.small","14px","Captions, labels"
"Typography","Black Weight","typography.fontWeight.black","900","Extra emphasis"
"Typography","Bold Weight","typography.fontWeight.bold","700","Strong emphasis"
"Typography","Semibold Weight","typography.fontWeight.semibold","600","Medium emphasis"
"Typography","Medium Weight","typography.fontWeight.medium","500","Slight emphasis"
"Typography","Regular Weight","typography.fontWeight.regular","400","Normal text"
"Spacing","XS","spacing.xs","4px","4px - Minimal spacing"
"Spacing","SM","spacing.sm","8px","8px - Small gaps"
"Spacing","MD","spacing.md","16px","16px - Medium gaps"
"Spacing","LG","spacing.lg","24px","24px - Large gaps"
"Spacing","XL","spacing.xl","32px","32px - Extra large"
"Spacing","2XL","spacing.2xl","48px","48px - Section spacing"
"Spacing","3XL","spacing.3xl","64px","64px - Large sections"
"Shadow","Small","shadows.sm","0 1px 2px rgba(0, 0, 0, 0.05)","Subtle elevation"
"Shadow","Medium","shadows.md","0 1px 3px rgba(0, 0, 0, 0.1)","Card elevation"
"Shadow","Large","shadows.lg","0 4px 6px rgba(0, 0, 0, 0.1)","Raised elements"
"Shadow","XLarge","shadows.xl","0 10px 15px rgba(0, 0, 0, 0.1)","Floating elements"